% channel_1000_DNS_196x160x196_MTF-mtf270_task2
% dt=8.177E-04
%
% node 1: j=10, y=  4.627762402457282E-003, yplus=4.6
% node 2: j=20, y=  1.441392271941726E-002, yplus=14
% node 3: j=40, y=  6.726684638316566E-002, yplus=67
% node 4: j=60, y=  0.253501789943420,      yplus=253
%
%     u1          v1         u2          v2          u3          v3          u4          v4
  2.525112E+00  -5.734149E-04   9.180569E+00  -3.484760E-02   1.219957E+01   7.195692E-01   1.820292E+01   7.352345E-01
  6.373023E+00  -1.139837E-01   1.260601E+01  -5.163224E-01   1.371340E+01  -3.990223E-01   1.918171E+01  -6.242970E-01
  6.300340E+00  -1.104190E-01   1.241534E+01  -4.991973E-01   1.347474E+01  -3.815132E-01   1.937833E+01  -7.011928E-01
  6.233345E+00  -1.055995E-01   1.221261E+01  -4.749214E-01   1.327885E+01  -2.926601E-01   1.949641E+01  -7.369772E-01
  6.173486E+00  -1.001289E-01   1.200059E+01  -4.410161E-01   1.315403E+01  -1.446513E-01   1.950373E+01  -7.159991E-01
  6.120143E+00  -9.309533E-02   1.178333E+01  -3.943185E-01   1.312352E+01   3.757581E-02   1.937687E+01  -6.174265E-01
  6.070803E+00  -8.282189E-02   1.156383E+01  -3.337914E-01   1.320525E+01   2.220858E-01   1.910946E+01  -4.198781E-01
  6.021261E+00  -6.839674E-02   1.134279E+01  -2.617253E-01   1.341028E+01   3.766572E-01   1.871566E+01  -1.074545E-01
  5.966135E+00  -5.047064E-02   1.111889E+01  -1.822880E-01   1.373924E+01   4.757052E-01   1.822825E+01   3.240769E-01
  5.899821E+00  -3.058998E-02   1.089018E+01  -9.864551E-02   1.417854E+01   5.068845E-01   1.769296E+01   8.623545E-01
  5.817666E+00  -9.810895E-03   1.065560E+01  -1.097358E-02   1.469994E+01   4.756896E-01   1.716193E+01   1.476036E+00
  5.716889E+00   1.199470E-02   1.041592E+01   8.314654E-02   1.526505E+01   4.054530E-01   1.668753E+01   2.115909E+00
  5.596981E+00   3.547569E-02   1.017376E+01   1.862679E-01   1.583314E+01   3.311635E-01   1.631604E+01   2.720112E+00
  5.459661E+00   6.043058E-02   9.932924E+00   2.981562E-01   1.636836E+01   2.882235E-01   1.608003E+01   3.223481E+00
  5.308687E+00   8.497481E-02   9.697401E+00   4.140348E-01   1.684365E+01   2.999884E-01   1.599086E+01   3.569741E+00
  5.149710E+00   1.059507E-01   9.470457E+00   5.248304E-01   1.724163E+01   3.691904E-01   1.603435E+01   3.723473E+00
  4.990018E+00   1.202515E-01   9.254227E+00   6.193731E-01   1.755355E+01   4.773586E-01   1.617363E+01   3.677733E+00
  4.837829E+00   1.261094E-01   9.049888E+00   6.876998E-01   1.777661E+01   5.931219E-01   1.635911E+01   3.454115E+00
  4.700955E+00   1.235806E-01   8.858242E+00   7.239662E-01   1.790871E+01   6.860513E-01   1.654183E+01   3.095028E+00
  4.585043E+00   1.141565E-01   8.680135E+00   7.276625E-01   1.794204E+01   7.398229E-01   1.668436E+01   2.651175E+00
  4.492025E+00   1.000032E-01   8.516192E+00   7.030261E-01   1.785979E+01   7.589459E-01   1.676567E+01   2.168945E+00
  4.419472E+00   8.335271E-02   8.365895E+00   6.576136E-01   1.763987E+01   7.669512E-01   1.678032E+01   1.681968E+00
  4.361178E+00   6.618626E-02   8.226613E+00   6.008728E-01   1.726503E+01   7.980602E-01   1.673499E+01   1.208884E+00
  4.308703E+00   5.006203E-02   8.093269E+00   5.427681E-01   1.673365E+01   8.860354E-01   1.664519E+01   7.567839E-01
  4.253157E+00   3.599037E-02   7.958961E+00   4.922308E-01   1.606619E+01   1.053145E+00   1.653357E+01   3.278770E-01
  4.186601E+00   2.445607E-02   7.816326E+00   4.556435E-01   1.530696E+01   1.301313E+00   1.642899E+01  -7.358379E-02
  4.102929E+00   1.568312E-02   7.659217E+00   4.359521E-01   1.452479E+01   1.607765E+00   1.636480E+01  -4.364348E-01
  3.998488E+00   9.982320E-03   7.484272E+00   4.327545E-01   1.381285E+01   1.927277E+00   1.637471E+01  -7.411947E-01
  3.872729E+00   7.820616E-03   7.292074E+00   4.430866E-01   1.327985E+01   2.200814E+00   1.648554E+01  -9.627381E-01
  3.728804E+00   9.408271E-03   7.087670E+00   4.622585E-01   1.302490E+01   2.367964E+00   1.670793E+01  -1.076786E+00
  3.573679E+00   1.404606E-02   6.880316E+00   4.843216E-01   1.310289E+01   2.381014E+00   1.702868E+01  -1.068582E+00
  3.417293E+00   1.978780E-02   6.682447E+00   5.023264E-01   1.350139E+01   2.218895E+00   1.740990E+01  -9.406718E-01
  3.270742E+00   2.381435E-02   6.508130E+00   5.088992E-01   1.414229E+01   1.897016E+00   1.779808E+01  -7.163889E-01
